i_cd_ref;i_array_agg;i_count;f_cd_ref;f_array_agg;f_count;att_list;att_nb;media_nb;grappe_change;action;cas
1650;{1650};1;928337;{1650};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1661;{1661};1;928347;{1661};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1668;{1668};1;928325;{1668};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1672;{1672};1;928322;{1672};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1747;{1747};1;928311;{1747};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
1751;{1751};1;928312;{1751};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5179;{5179};1;930612;{5179};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5180;{5180};1;930620;{5180};1;;;5;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5181;{5181};1;933194;{5181};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5182;{5182};1;930623;{5182};1;;;3;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5188;{5188};1;930633;{5188};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5618;{5618};1;886179;{5618};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5625;{5625};1;886176;{5625};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6028;{6028};1;931260;{6028};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6054;{6054};1;436230;{6054};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6072;{6072};1;931174;{6072};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
6120;{6120};1;931317;{6120};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
8268;{8268};1;8268;{8268,834098};2;;;4;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
8482;{8482};1;8482;{8482,251432};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
12227;{12227};1;527207;{12227};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
55742;{55742};1;926870;{55742};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
56385;{56385};1;913237;{56385};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
56506;{56506};1;912179;{56506};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
58316;{58316};1;913229;{58316};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
58575;{58575};1;913224;{58575};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
73572;{73572};1;73532;{73572};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
73578;{73578};1;931968;{73578};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
74349;{74349};1;932012;{74349};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
81421;{81421};1;923594;{81421};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
84487;{84487};1;923640;{84487};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
86564;{86564};1;90192;{86564};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
86758;{86758};1;717136;{86758};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
