regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Plantae,Bryophytes,Mousses,4765,[4765],"Kiaeria blyttii (Bruch & Schimp.) Broth., 1923",1,1018857,[4765],"Arctoa blyttii (Bruch & Schimp.) Loeske, 1910",1,,,7,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Bryophytes,Mousses,4766,[4766],"Kiaeria falcata (Hedw.) I.Hagen, 1915",1,1018958,[4766],"Pseudoblindia falcata (Hedw.) Fedosov, M.Stech & Ignatov, 2021",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Bryophytes,Mousses,4767,[4767],"Kiaeria starkei (F.Weber & D.Mohr) I.Hagen, 1915",1,1018858,[4767],"Arctoa starkei (F.Weber & D.Mohr) Loeske, 1910",1,,,10,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Bryophytes,Mousses,4776,"[4776, 434564]","Oncophorus wahlenbergii Brid., 1826",2,1018861,"[4776, 434564]","Brideliella wahlenbergii (Brid.) Fedosov, M.Stech & Ignatov, 2021",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,8207,[8207],"Rusticoclytus rusticus (Linnaeus, 1758)",1,12378,[8207],"Xylotrechus rusticus (Linnaeus, 1758)",1,,,3,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,11675,[11675],"Esarcus abeillei (Ancey, 1870)",1,801947,[11675],"Entoxylon abeillei Ancey, 1869",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,12110,[12110],"Meloe brevicollis Panzer, 1793",1,1012346,[12110],"Eurymeloe brevicollis (Panzer, 1793)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,12255,[12255],"Stenurella nigra (Linnaeus, 1758)",1,1013882,[12255],"Rutpela nigra (Linnaeus, 1758)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,24612,[24612],"Cryptaciura rotundiventris (Fallén, 1814)",1,944140,[24612],"Euleia rotundiventris Fallén, 1814",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,24892,[24892],"Otites formosa (Panzer, 1798)",1,1011237,[24892],"Otites ruficeps (Fabricius, 1805)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,26827,[26827],"Phrosia albilabris (Fabricius, 1805)",1,1002787,[26827],"Cordilura albilabris (Fabricius, 1805)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,33739,[33739],"Entoloma lividum Quél., 1872",1,33741,[33739],"Entoloma sinuatum (Bull.) P.Kumm., 1871",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,37640,[37640],"Phellinus torulosus (Pers.) Bourdot & Galzin, 1925",1,461818,[37640],"Fuscoporia torulosa (Pers.) T.Wagner & M.Fisch., 2001",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,38080,[38080],"Agaricus silvaticus Schaeff., 1774",1,901371,[38080],"Agaricus sylvaticus Schaeff., 1774",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,51701,"[51701, 238141]","Lamprodema maurum (Fabricius, 1803)",2,238141,"[51701, 238141]","Lamprodema maura (Fabricius, 1803)",2,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,51978,[51978],"Euscelis incisus (Kirschbaum, 1858)",1,1012282,[51978],"Euscelis incisa (Kirschbaum, 1858)",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,56383,[56383],"Collema tenax (Sw.) Ach., 1810",1,954259,[56383],"Enchylium tenax (Sw.) Gray, 1821",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,59433,[59433],"Caloplaca ferruginea (Huds.) Th.Fr., 1861",1,665934,[59433],"Blastenia ferruginea (Huds.) A.Massal., 1852",1,,,3,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,59498,[59498],"Caloplaca teicholyta (Ach.) J.Steiner, 1895",1,1015128,[59498],"Kuettlingeria teicholyta (Ach.) Trevis., 1857",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
